YEAR,MONTH,CAT A,CAT B,CAT C,CAT D,CAT E,CAT A QUOTA,CAT A BIDS RECV
2015,Sep.T1,"57,089","62,101","46,801","6,512","61,010","1,688","2,553"
2015,Aug.T2,"57,498","62,140","46,501","6,112","61,001","1,756","2,597"
2015,Aug.T1,"56,209","60,789","49,302","6,201","57,885","1,688","2,446"
2015,Jul.T2,"55,889","58,109","50,002","6,312","60,101","1,435","1,966"
2015,Jul.T1,"58,700","65,501","50,001","6,508","69,001","1,466","1,891"
2015,Jun.T2,"61,000","71,509","50,502","6,401","74,501","1,429","1,766"
2015,Jun.T1,"66,000","75,000","50,900","6,509","75,801","1,432","1,943"
2015,May.T2,"66,590","75,002","52,001","6,501","78,001","1,434","2,351"
2015,May.T1,"68,589","77,600","50,098","6,512","78,004","1,444","2,891"
2015,Apr.T2,"67,601","78,001","53,001","6,801","79,500",987,"2,055"
2015,Apr.T1,"67,749","76,612","64,001","6,312","78,000",988,"2,340"
2015,Mar.T2,"64,700","71,889","59,999","5,610","72,100",987,"2,251"
2015,Mar.T1,"61,410","68,668","56,501","5,501","70,500",987,"2,120"
2015,Feb.T2,"57,199","66,751","53,202","5,800","67,901",988,"1,294"
2015,Feb.T1,"62,002","70,890","52,101","5,504","71,921",992,"1,295"
2015,Jan.T2,"65,001","76,889","55,012","4,889","76,790",705,"1,068"
2015,Jan.T1,"66,010","75,289","55,011","4,403","75,200",704,940
2014,Dec.T2,"65,889","74,000","52,100","4,312","73,990",705,868
2014,Dec.T1,"67,089","74,389","60,001","4,210","76,904",709,996
2014,Nov.T2,"67,889","72,890","65,001","4,189","73,900",701,"1,144"
2014,Nov.T1,"64,900","70,890","63,701","4,290","71,300",703,"1,196"
2014,Oct.T2,"63,990","72,002","61,000","4,412","72,201",572,"1,092"
2014,Oct.T1,"63,880","72,180","57,389","4,800","72,003",575,"1,097"
2014,Sep.T2,"62,000","71,990","49,889","4,504","74,801",573,792
2014,Sep.T1,"64,841","73,010","49,901","4,453","74,403",572,813
2014,Aug.T2,"65,710","72,990","52,390","4,354","72,810",575,994
2014,Aug.T1,"64,600","68,689","54,009","4,353","69,001",574,"1,086"
2014,Jul.T2,"62,890","65,001","52,010","4,252","65,002",509,"1,190"
2014,Jul.T1,"61,990","64,889","43,390","4,001","63,001",513,"1,075"
2014,Jun.T2,"61,899","65,700","42,001","3,890","65,301",509,"1,040"
2014,Jun.T1,"63,190","67,304","43,001","4,089","67,334",507,"1,040"
2014,May.T2,"65,689","68,103","40,889","4,003","67,290",509,997
2014,May.T1,"60,002","70,002","36,301","4,001","65,501",513,676
2014,Apr.T2,"71,335","75,010","32,890","4,502","73,810",361,513
2014,Apr.T1,"77,400","84,504","49,503","4,489","84,100",367,537
2014,Mar.T2,"78,602","82,900","53,891","4,289","84,001",362,577
